ClaveProveedor,NumFac,FechaFac,ValorComercial,Moneda,Incoterm,SubdV,CertOrigin,NúmeroItem,PartidaPed,NúmeroParte,ModeloCOVE,SubModeloCOVE,Fracción,Descripción,Vendedor,Origen,ClaveUMC,CantUMC,ClaveUMT,CantUMT,ValorMercancía,Moneda(2),PreferenciaTL,IdentPref,MétVal,TipoMerc,UsoMerc,Vinc,Ident1,Ident2,Ident3,Ident4,Permisos1,Permisos2,ObservPart,MarcaCOVE,SerieCOVE,SubDiv
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,1,,32536168061112007,168,,61112007,PAÑALERO PARA BEBE,ESP,CHN,6,10,6,10,35.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,2,,32536190061112008,190,,61112008,CAMISA TIPO POLO PARA BEBE,ESP,CHN,6,20,6,20,95.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,3,,32536191061112007,191,,61112007,PAÑALERO PARA BEBE,ESP,CHN,6,10,6,10,41,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,4,,32536201062092015,201,,62092015,PANTALON CORTO PARA BEBE,ESP,BGD,6,20,6,20,129.4,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,5,,32536318061112092,318,,61112092,CARDIGAN PARA BEBE,ESP,BGD,6,20,6,20,154.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,6,,32536325061119003,325,,61119003,CARDIGAN PARA BEBE,ESP,CHN,6,20,6,20,177.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,7,,32536595062092014,595,,62092014,PANTALON LARGO PARA BEBE,ESP,BGD,6,10,6,10,69.3,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,8,,32536596062092014,596,,62092014,PANTALON LARGO PARA BEBE,ESP,BGD,6,10,6,10,78.5,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,9,,325361033061112008,1033,,61112008,BLUSA PARA BEBE,ESP,IND,6,10,6,10,48.2,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,10,,325361033161112008,1033,,61112008,BLUSA PARA BEBE,ESP,IND,6,10,6,10,48.2,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,11,,325361034061112008,1034,,61112008,BLUSA PARA BEBE,ESP,IND,6,10,6,10,65.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,12,,325361035061112008,1035,,61112008,BLUSA PARA BEBE,ESP,IND,6,20,6,20,102.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,13,,325361035161112008,1035,,61112008,BLUSA PARA BEBE,ESP,IND,6,20,6,20,102.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,14,,325361036061112008,1036,,61112008,CAMISA (T-SHIRT CON ABERTURA Y BROCHE) PARA BEBE,ESP,CHN,6,10,6,10,48.5,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,15,,325361037061112008,1037,,61112008,CAMISA (T-SHIRT CON ABERTURA Y BROCHE) PARA BEBE,ESP,CHN,6,10,6,10,41.6,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,16,,325361037161112008,1037,,61112008,CAMISA (T-SHIRT CON ABERTURA Y BROCHE) PARA BEBE,ESP,CHN,6,10,6,10,41.6,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,17,,325361038061112008,1038,,61112008,CAMISA (T-SHIRT CON ABERTURA Y BROCHE) PARA BEBE,ESP,CHN,6,20,6,20,96.4,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,18,,325361038161112008,1038,,61112008,CAMISA (T-SHIRT CON ABERTURA Y BROCHE) PARA BEBE,ESP,CHN,6,20,6,20,96.4,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,19,,325361137062092005,1137,,62092005,BLUSA PARA BEBE,ESP,CHN,6,10,6,10,68.7,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,20,,325361137161112004,1137,,61112004,BRAGA PARA BEBE,ESP,CHN,6,10,6,10,68.7,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,21,,325361138061112008,1138,,61112008,BLUSA PARA BEBE,ESP,CHN,6,20,6,20,109.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,22,,325361138162092004,1138,,62092004,BRAGA PARA BEBE,ESP,CHN,6,20,6,20,109.6,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
