ClaveProveedor,NumFac,FechaFac,ValorComercial,Moneda,Incoterm,SubdV,CertOrigin,NúmeroItem,PartidaPed,NúmeroParte,ModeloCOVE,SubModeloCOVE,Fracción,Descripción,Vendedor,Origen,ClaveUMC,CantUMC,ClaveUMT,CantUMT,ValorMercancía,Moneda(2),PreferenciaTL,IdentPref,MétVal,TipoMerc,UsoMerc,Vinc,Ident1,Ident2,Ident3,Ident4,Permisos1,Permisos2,ObservPart,MarcaCOVE,SerieCOVE,SubDiv
MAYOMO,32536,,54206.42,USD,CIF,,S,1,,201,201,,62092015,PANTALON CORTO PARA BEBE,ESP,BGD,6,20,6,20,129.4,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,2,,318,318,,61112092,CARDIGAN PARA BEBE,ESP,BGD,6,20,6,20,154.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,3,,325,325,,61119003,CARDIGAN PARA BEBE,ESP,CHN,6,20,6,20,177.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,4,,595,595,,62092014,PANTALON LARGO PARA BEBE,ESP,BGD,6,10,6,10,69.3,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,5,,596,596,,62092014,PANTALON LARGO PARA BEBE,ESP,BGD,6,10,6,10,78.5,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,6,,1033,1033,,61112008,BLUSA PARA BEBE,ESP,IND,6,10,6,10,48.2,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,7,,1033,1033,,61112008,BLUSA PARA BEBE,ESP,IND,6,10,6,10,48.2,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,8,,1034,1034,,61112008,BLUSA PARA BEBE,ESP,IND,6,10,6,10,65.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,9,,1035,1035,,61112008,BLUSA PARA BEBE,ESP,IND,6,20,6,20,102.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,10,,1035,1035,,61112008,BLUSA PARA BEBE,ESP,IND,6,20,6,20,102.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
